Alpha_Node,Total_Support
BCL2L12,19
FLJ32855,131
PPARG,43
CDH18,57
GRK6,91
SULT2B1,27
EPPK1,-113
HIST1H2BD,55
TMEM29,103
KRAS,101
SFRP1,61
SLC1A6,65
CBLC,33
CYB561D2,11
PPM1F,99
CCNB2,65
ZNF45,69
EIF4G2,87
FXYD6,305
RPH3A,55
TRBC1,55
CHRM2,57
TUBB3,143
TBC1D3,-9
CASP8AP2,129
FGFR2,113
CDC27,-205
HIST1H3H,55
CTBP1,-77
SCN4A,55
SV2A,47
FLJ30707,113
REG1A,57
CD1A,57
ARHGDIG,-21
ARID4B,11
SSTR3,839
DLGAP1,107
ZSCAN4,109
CSNK1A1,-73
RGS4,51
ELAVL3,19
APCS,37
ARFRP1,57
RIC8A,-63
CDC23,93
CA12,37
METAP1,15
PIGC,57
POP4,57
PSMB10,49
KIF3C,55
MRPS6,65
SEC22L1,27
ITGA6,325
ACAA2,57
UPF3A,25
NRTN,113
FGFBP1,57
PPM1D,57
FLJ20859,121
MALL,55
NFE2L1,-69
TAC4,55
PITX2,55
SYN1,337
FLJ20345,59
ACTR1B,19
CDAN1,53
PPP2CB,53
TBRG4,51
RBPSUH,65
MGST3,57
UBLCP1,25
TNPO2,57
CTDP1,55
TOP3A,23
RAC3,-81
ZNF24,623
CUL7,25
IFITM1,25
TBX5,57
NUP54,181
PTPN21,-51
ZCCHC8,77
SF3A3,183
CSEN,99
CFL1,63
ODF1,43
ESRRG,33
MAS1,107
ANK1,103
RPL17,281
IL1R2,59
ACOX3,53
STK6,857
ELF1,-71
LAMB3,55
JMJD1C,35
EIF3S7,23
PLD2,-157
MGC45871,-125
CCL15,55
IRAK3,41
UNC13A,55
C3orf6,57
CDCA1,33
NDUFS7,57
AP2S1,39
FGB,47
PLEKHA8,55
CHKA,57
MS4A3,69
PPP2R3A,67
THOP1,25
HDLBP,-45
PIK3R2,181
PTPRJ,-81
ATR,-161
CCNG1,841
HSPC152,41
MEF2B,41
RIT1,61
GMFG,55
C1QG,55
VIM,105
SERPINB8,55
UHRF2,-39
CD3G,55
S100A9,27
CST7,55
NCOA3,121
TINAGL1,113
AKR1B1,111
HLA-B,61
ENO1,279
GPSM2,107
CHN1,57
CDC42EP3,-3
PKP3,55
RAB11FIP1,25
FLJ25369,87
AGA,55
ZFPM2,37
EYA1,63
CLDN2,47
NR4A3,55
TNNT2,55
CYP2C9,57
EYA2,135
AIPL1,57
ACCN1,57
HTR2B,57
5-Sep,51
IRAK4,45
ISGF3G,37
PROC,57
SNAPC1,-91
VEZATIN,-53
GSR,55
KIAA1199,55
KIF5C,43
NAB1,21
C20orf35,53
SCG3,57
GPR26,59
LOC112476,57
UBE1,53
E2F4,-243
RBBP4,-89
NQO2,45
PDCD6,77
KLF6,23
TNFSF5IP1,55
PRO1580,39
PON1,57
NSUN4,-21
CXXC5,-55
HLA-DRB5,55
AQP1,179
SKP2,95
GEM,51
IL10,65
KHSRP,35
MCM7,-243
BANK1,19
RPL19,283
THOC3,61
DHX9,-229
BATF,-79
DDO,57
ZZEF1,59
KIBRA,19
SNX3,55
PEX11A,45
OCRL,173
TOB1,-83
CDC20,-49
EIF2B3,57
RBM23,69
GRB2,-927
RPS24,341
MSH6,41
N4BP2,9
TPM1,89
SSBP1,281
PTPRM,45
HCRT,61
FYB,-25
DHRS10,43
RBM14,-81
PGD,57
NRP2,55
CBFA2T3,11
ZNF313,361
LRRC7,357
CREB3L4,363
PSMB5,357
MICAL-L1,359
RUNX1,33
RANGAP1,265
SSSCA1,395
NDUFB9,397
PDE4A,359
C10orf30,397
ADRB3,373
RPS23,803
SLC7A11,357
LTA4H,359
PIGR,369
ADRA1A,363
CETN2,359
C9orf75,357
PRKAG2,361
RAB37,195
ALOX5,627
GEMIN7,385
MDH1,367
ADPGK,395
C21orf77,361
TRPS1,363
TRIM3,375
MAN2C1,373
HNRPLL,361
CARS,317
ZG16,365
LACRT,337
UBE2D4,419
LY9,359
MLC1SA,359
KPNA1,377
CLCA1,391
IHPK2,445
RIMS2,353
RAD54B,157
PTPN9,359
RSN,335
FGG,359
CDC7,373
TES,365
GTF2IRD1,345
JUP,441
SLC35A2,417
CDH24,359
NLGN3,377
RNF19,337
AGXT,369
C1S,359
DACH1,351
CLDN12,361
UBE2V2,349
MBD2,421
ALS2CL,359
BCAP31,375
SMURF2,91
CENPF,363
