Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000145623,OSMR,,77,,,False,"40155506, 39532904"
ENSG00000249915,PDCD6,,77,,,False,38659028
ENSG00000078053,AMPH,,77,,,False,35857825
ENSG00000174607,UGT8,,75,,,False,39185521
ENSG00000124422,USP22,,75,,,False,39661501
ENSG00000006327,TNFRSF12A,,75,,,False,39833632
ENSG00000169242,EFNA1,,75,,,False,
ENSG00000108679,LGALS3BP,,75,,,False,"40155942, 39838686"
ENSG00000197150,ABCB8,,75,,,False,"38720515, 35631534"
ENSG00000076242,MLH1,"COCA2, FCC2, HNPCC, HNPCC2",75,No,Yes,True,40302099
ENSG00000158552,ZFAND2B,,75,,,False,
ENSG00000159263,SIM2,,75,,,False,39414426
ENSG00000142182,DNMT3L,,75,,,False,39788122
ENSG00000215788,TNFRSF25,,75,,,False,39300279
ENSG00000099246,RAB18,,75,,,False,"39413198, 38139006"
ENSG00000183751,TBL3,,73,,,False,
ENSG00000288145,EIF5A,,73,,,False,39900920
ENSG00000138347,MYPN,,73,,,False,
ENSG00000126351,THRA,,73,,,False,38750182
ENSG00000110786,PTPN5,,73,,,False,"39341486, 36556168"
ENSG00000141655,TNFRSF11A,"CD265, FEO, LOH18CR1, PDB2, RANK",73,No,No,True,
ENSG00000125657,TNFSF9,,73,,,False,"39401967, 39010835"
ENSG00000172164,SNTB1,,73,,,False,"37592763, 34277816"
ENSG00000105388,CEACAM5,,73,,,False,40158720
ENSG00000160752,FDPS,,73,,,False,39697524
ENSG00000007264,MATK,,73,,,False,35763198
ENSG00000077348,EXOSC5,,73,,,False,"39550701, 35601016"
ENSG00000157542,KCNJ6,,73,,,False,34283174
ENSG00000169583,CLIC3,,73,,,False,36685927
ENSG00000102893,PHKB,,73,,,False,25051373
ENSG00000184216,IRAK1,,73,,,False,40028213
ENSG00000183762,KREMEN1,,73,,,False,37505110
ENSG00000151892,GFRA1,,73,,,False,39308542
,LOC51204,,73,,,False,
ENSG00000165821,SALL2,,71,,,False,"39442253, 37946181"
ENSG00000169019,COMMD8,,71,,,False,"31566716, 23563313"
ENSG00000079819,EPB41L2,,71,,,False,
ENSG00000183087,GAS6,,71,,,False,40034700
ENSG00000112739,PRPF4B,,71,,,False,35281802
ENSG00000102302,FGD1,,71,,,False,
,IQWD1,,71,,,False,
ENSG00000189171,S100A13,,71,,,False,"39744679, 38841623"
ENSG00000124789,NUP153,,71,,,False,
ENSG00000187045,TMPRSS6,,71,,,False,37690687
ENSG00000159212,CLIC6,,71,,,False,39555060
ENSG00000123975,CKS2,,71,,,False,"39780088, 39324133"
ENSG00000114503,NCBP2,,71,,,False,38707306
ENSG00000238196,NOTCH4,INT3,71,Yes,Yes,True,40002854
ENSG00000185963,BICD2,,69,,,False,"38613141, 37105961"
ENSG00000174827,PDZK1,,69,,,False,"40156235, 39819421"
ENSG00000137575,SDCBP,,69,,,False,"40256939, 39873429"
ENSG00000100461,RBM23,,69,,,False,"36602777, 31686031"
ENSG00000178607,ERN1,,69,,,False,
ENSG00000124459,ZNF45,,69,,,False,
ENSG00000223680,DDR1,"CAK, CD167, EDDR1, NEP, NTRK4, PTK3A, RTK6",69,No,No,True,"40159417, 39990299"
ENSG00000185008,ROBO2,,69,,,False,39323566
ENSG00000131462,TUBG1,,69,,,False,"39859203, 37685969"
