Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000151702,FLI1,SIC-1,-386,Yes,No,True,40236115
ENSG00000147133,TAF1,"BA2R, CCG1, CCGS, DYT3, DYT3/TAF1, KAT4, NSCL2, TAFII250",-386,Yes,No,True,"39760648, 39323550"
ENSG00000047315,POLR2B,,-386,,,False,36439183
ENSG00000087245,MMP2,,-388,,,False,
ENSG00000223448,LTB,"TNFC, TNFSF3",-390,Yes,Yes,True,39832243
ENSG00000114854,TNNC1,,-390,,,False,37802634
ENSG00000120318,ARAP3,,-390,,,False,34635181
ENSG00000140575,IQGAP1,"HUMORFA01, KIAA0051, p195",-390,Yes,No,True,"40118293, 39786847"
ENSG00000028137,TNFRSF1B,,-392,,,False,39609700
ENSG00000141551,CSNK1D,,-392,,,False,38781585
ENSG00000204231,RXRB,,-392,,,False,29515775
ENSG00000143437,ARNT,"HIF-1beta, bHLHe2",-392,No,No,True,38806469
ENSG00000115904,SOS1,GINGF,-394,Yes,No,True,"36459180, 37042566"
ENSG00000283391,EEF1B2,,-394,,,False,32628130
ENSG00000137265,IRF4,"LSIRF, MUM1",-396,Yes,No,True,40214428
ENSG00000276920,NKD2,,-396,,,False,"39733709, 38509907"
ENSG00000284161,EEF2K,,-396,,,False,39950798
ENSG00000100385,IL2RB,,-396,,,False,39493321
ENSG00000276111,SDCCAG8,,-396,,,False,36090644
ENSG00000198707,CEP290,,-396,,,False,38014853
ENSG00000064692,SNCAIP,SYPH1,-396,No,No,True,35633541
ENSG00000163754,GYG1,,-396,,,False,
ENSG00000166037,CEP57,,-396,,,False,32920024
ENSG00000089280,FUS,"ALS6, HNRNPP2, TLS, hnRNP-P2",-396,Yes,No,True,40273917
ENSG00000122861,PLAU,,-398,,,False,"40216916, 39812944"
ENSG00000281324,LRP6,ADCAD2,-398,Yes,No,True,40000807
ENSG00000146425,DYNLT1,,-400,,,False,37280526
ENSG00000164053,ATRIP,"FLJ12343, MGC20625, MGC21482, MGC26740",-400,No,Yes,True,39187637
ENSG00000196549,MME,,-400,,,False,40232585
ENSG00000116670,MAD2L2,"FANCV, MAD2B, POLZ2, REV7",-400,Yes,Yes,True,39739346
ENSG00000123143,PKN1,,-402,,,False,
