Start	End	Direction	Weight
hsa:54361	hsa:7483	0	1
hsa:54361	hsa:7482	0	1
hsa:54361	hsa:80326	0	1
hsa:54361	hsa:7484	0	1
hsa:54361	hsa:89780	0	1
hsa:54361	hsa:81029	0	1
hsa:54361	hsa:2535	0	1
hsa:54361	hsa:11211	0	1
hsa:54361	hsa:7976	0	1
hsa:54361	hsa:7855	0	1
hsa:54361	hsa:8322	0	1
hsa:54361	hsa:8321	0	1
hsa:54361	hsa:8324	0	1
hsa:54361	hsa:8323	0	1
hsa:54361	hsa:8326	0	1
hsa:54361	hsa:8325	0	1
hsa:2736	hsa:51384	0	1
hsa:2736	hsa:2737	0	1
hsa:2736	hsa:7471	0	1
hsa:2736	hsa:54361	0	1
hsa:2736	hsa:7473	0	1
hsa:2736	hsa:7472	0	1
hsa:2736	hsa:7475	0	1
hsa:2736	hsa:7474	0	1
hsa:2736	hsa:7477	0	1
hsa:2736	hsa:7476	0	1
hsa:2736	hsa:7479	0	1
hsa:2736	hsa:7478	0	1
hsa:2736	hsa:7481	0	1
hsa:2736	hsa:7480	0	1
hsa:2736	hsa:7483	0	1
hsa:2736	hsa:7482	0	1
hsa:2736	hsa:80326	0	1
hsa:2736	hsa:7484	0	1
hsa:2736	hsa:89780	0	1
hsa:2736	hsa:81029	0	1
hsa:2736	hsa:8643	0	1
hsa:2736	hsa:5727	0	1
hsa:2736	hsa:64399	0	1
hsa:2736	hsa:2735	0	1
hsa:2736	hsa:652	0	1
hsa:2736	hsa:650	0	1
hsa:2737	hsa:54361	0	1
hsa:2737	hsa:51384	0	1
hsa:2737	hsa:7472	0	1
hsa:2737	hsa:7471	0	1
hsa:2737	hsa:7474	0	1
hsa:2737	hsa:7473	0	1
hsa:2737	hsa:7476	0	1
hsa:2737	hsa:7475	0	1
hsa:2737	hsa:7478	0	1
hsa:2737	hsa:7477	0	1
hsa:2737	hsa:7480	0	1
hsa:2737	hsa:7479	0	1
hsa:2737	hsa:7482	0	1
hsa:2737	hsa:7481	0	1
hsa:2737	hsa:7484	0	1
hsa:2737	hsa:7483	0	1
hsa:2737	hsa:81029	0	1
hsa:2737	hsa:80326	0	1
hsa:2737	hsa:5727	0	1
hsa:2737	hsa:89780	0	1
hsa:2737	hsa:2735	0	1
hsa:2737	hsa:8643	0	1
hsa:2737	hsa:650	0	1
hsa:2737	hsa:64399	0	1
hsa:2737	hsa:652	0	1
hsa:51684	hsa:2736	0	1
hsa:51684	hsa:2735	0	1
hsa:51684	hsa:2737	0	1
hsa:5727	hsa:8643	0	1
hsa:6608	hsa:51684	0	1
hsa:2735	hsa:2736	0	1
hsa:2735	hsa:51384	0	1
hsa:2735	hsa:2737	0	1
hsa:2735	hsa:7471	0	1
hsa:2735	hsa:54361	0	1
hsa:2735	hsa:7473	0	1
hsa:2735	hsa:7472	0	1
hsa:2735	hsa:7475	0	1
hsa:2735	hsa:7474	0	1
hsa:2735	hsa:7477	0	1
hsa:2735	hsa:7476	0	1
hsa:2735	hsa:7479	0	1
hsa:2735	hsa:7478	0	1
hsa:2735	hsa:7481	0	1
hsa:2735	hsa:7480	0	1
hsa:2735	hsa:7483	0	1
hsa:2735	hsa:7482	0	1
hsa:2735	hsa:80326	0	1
hsa:2735	hsa:7484	0	1
hsa:2735	hsa:89780	0	1
hsa:2735	hsa:81029	0	1
hsa:2735	hsa:8643	0	1
hsa:2735	hsa:5727	0	1
hsa:2735	hsa:64399	0	1
hsa:2735	hsa:652	0	1
hsa:2735	hsa:650	0	1
hsa:6469	hsa:5727	0	1
hsa:6934	hsa:83439	0	1
hsa:1499	hsa:51176	0	1
hsa:1499	hsa:6934	0	1
hsa:1499	hsa:6932	0	1
hsa:1499	hsa:83439	0	1
hsa:6932	hsa:83439	0	1
hsa:6932	hsa:6934	0	1
hsa:51176	hsa:6932	0	1
hsa:51176	hsa:83439	0	1
hsa:51176	hsa:6934	0	1
hsa:2932	hsa:1499	0	1
hsa:1856	hsa:2932	0	1
hsa:1856	hsa:1857	0	1
hsa:1855	hsa:1856	0	1
hsa:1855	hsa:2932	0	1
hsa:1855	hsa:1857	0	1
hsa:1857	hsa:2932	0	1
